Date;Allianz SE;BASF AG;Bayer AG;Beiersdorf AG;BMW AG;Commerzbank AG;Daimler AG;Deutsche Bank AG;Deutsche Lufthansa AG;E.ON SE;HeidelbergCement AG,;Henkel KGaA Pfd.;K+S AG;Linde AG;MAN AG;Muenchener Rueckversicherungs-Gesellschaft AG;RWE AG;Siemens AG;ThyssenKrupp AG;Volkswagen AG Pfd.;Germany, Equity Indices, DAX, Total Return, Close, EUR
01.01.1990;90.89;7.95;15.35;5.31;7.21;87.98;36.95;36.61;10.53;7.16;38.61;11.59;2.3;37.66;22.05;48.48;21.21;24.43;20.44;20.6;1822.7
01.02.1990;85.44;7.81;14.82;5.81;8.46;86.8;38.37;34.75;10.4;7.21;35.66;12.22;2.55;36.73;21.64;42.75;20.84;24.39;20.05;20.56;1809.9
01.03.1990;97.04;7.99;15.34;6.23;8.41;89.48;42.1;37.67;10.26;7.67;39.8;14.17;3.13;42.47;26;46.84;23.91;26.62;22.7;24.03;1968.5
01.04.1990;90.11;7.66;14.48;6.15;7.8;80.92;36.33;34.15;8.59;7.34;36.01;13.07;2.99;39.94;24.42;40.71;23.16;24.36;20.99;21.76;1813.2
01.05.1990;95.92;7.55;14.24;6.32;8.08;81.65;36.4;35.57;8.25;6.99;36.35;12.88;3.15;42.09;24.53;44.66;23.73;23.88;22.7;23.42;1844.8
01.06.1990;104.16;6.96;13.39;6.87;7.9;82.62;37.54;36.41;8.28;7.22;35.38;13.41;3.3;43.35;24.22;46.64;24.57;24.76;21.22;24.54;1879.9
01.07.1990;112.7;6.98;13.65;7.3;7.84;90.92;38.46;37.53;7.67;6.83;38.97;14.08;3.24;44.32;23.66;55.54;23.61;24.92;22.6;23.33;1919.12
01.08.1990;95.73;6.01;11.69;6.9;6.58;77.24;30.78;31.34;6.25;5.74;32.89;12.69;2.41;36.77;18.42;47.76;20.47;20.54;17.01;18.61;1629.51
01.09.1990;75.68;5.01;9.55;5.54;5.11;64.88;25.14;25.87;5.17;4.75;26.2;11.36;1.76;31.09;16.79;36.92;17.01;16.99;12.77;15;1334.89
01.10.1990;83.4;5.06;9.77;5.78;5.66;66.2;26.12;27.44;5.53;5.04;30.4;12.35;1.81;34.85;18.78;45;19.93;19.44;14.01;14.31;1433.82
